filename,id,label,xMin,xMax,yMin,yMax
agua(0)(0).image.png,2,agua,82,177,64,338
agua(0)(1).image.png,2,agua,82,177,64,338
agua(0)(2).image.png,2,agua,82,177,64,338
agua(0)(3).image.png,2,agua,82,177,64,338
agua(0)(4).image.png,2,agua,82,177,64,338
agua(0)(5).image.png,2,agua,82,177,64,338
agua(0)(6).image.png,2,agua,82,177,64,338
agua(0)(7).image.png,2,agua,82,177,64,338
agua(0)(8).image.png,2,agua,82,177,64,338
agua(0)(9).image.png,2,agua,82,177,64,338
agua(0)(10).image.png,2,agua,82,177,64,338
agua(0)(11).image.png,2,agua,82,177,64,338
agua(0)(12).image.png,2,agua,82,177,64,338
agua(2)(0).image.png,2,agua,74,170,74,345
agua(2)(1).image.png,2,agua,74,170,74,345
agua(2)(2).image.png,2,agua,74,170,74,345
agua(2)(3).image.png,2,agua,74,170,74,345
agua(2)(4).image.png,2,agua,74,170,74,345
agua(2)(5).image.png,2,agua,74,170,74,345
agua(2)(6).image.png,2,agua,74,170,74,345
agua(2)(7).image.png,2,agua,74,170,74,345
agua(2)(8).image.png,2,agua,74,170,74,345
agua(2)(9).image.png,2,agua,74,170,74,345
agua(2)(10).image.png,2,agua,74,170,74,345
agua(2)(11).image.png,2,agua,74,170,74,345
agua(2)(12).image.png,2,agua,74,170,74,345
agua(3)(0).image.png,2,agua,74,170,85,353
agua(3)(1).image.png,2,agua,74,170,85,353
agua(3)(2).image.png,2,agua,74,170,85,353
agua(3)(3).image.png,2,agua,74,170,85,353
agua(3)(4).image.png,2,agua,74,170,85,353
agua(3)(5).image.png,2,agua,74,170,85,353
agua(3)(6).image.png,2,agua,74,170,85,353
agua(3)(7).image.png,2,agua,74,170,85,353
agua(3)(8).image.png,2,agua,74,170,85,353
agua(3)(9).image.png,2,agua,74,170,85,353
agua(3)(10).image.png,2,agua,74,170,85,353
agua(3)(11).image.png,2,agua,74,170,85,353
agua(3)(12).image.png,2,agua,74,170,85,353
agua(4)(0).image.png,2,agua,77,172,84,359
agua(4)(1).image.png,2,agua,77,172,84,359
agua(4)(2).image.png,2,agua,77,172,84,359
agua(4)(3).image.png,2,agua,77,172,84,359
agua(4)(4).image.png,2,agua,77,172,84,359
agua(4)(5).image.png,2,agua,77,172,84,359
agua(4)(6).image.png,2,agua,77,172,84,359
agua(4)(7).image.png,2,agua,77,172,84,359
agua(4)(8).image.png,2,agua,77,172,84,359
agua(4)(9).image.png,2,agua,77,172,84,359
agua(4)(10).image.png,2,agua,77,172,84,359
agua(4)(11).image.png,2,agua,77,172,84,359
agua(4)(12).image.png,2,agua,77,172,84,359
agua(5)(0).image.png,2,agua,79,176,84,363
agua(5)(1).image.png,2,agua,79,176,84,363
agua(5)(2).image.png,2,agua,79,176,84,363
agua(5)(3).image.png,2,agua,79,176,84,363
agua(5)(4).image.png,2,agua,79,176,84,363
agua(5)(5).image.png,2,agua,79,176,84,363
agua(5)(6).image.png,2,agua,79,176,84,363
agua(5)(7).image.png,2,agua,79,176,84,363
agua(5)(8).image.png,2,agua,79,176,84,363
agua(5)(9).image.png,2,agua,79,176,84,363
agua(5)(10).image.png,2,agua,79,176,84,363
agua(5)(11).image.png,2,agua,79,176,84,363
agua(5)(12).image.png,2,agua,79,176,84,363
agua(6)(0).image.png,2,agua,79,177,84,365
agua(6)(1).image.png,2,agua,79,177,84,365
agua(6)(2).image.png,2,agua,79,177,84,365
agua(6)(3).image.png,2,agua,79,177,84,365
agua(6)(4).image.png,2,agua,79,177,84,365
agua(6)(5).image.png,2,agua,79,177,84,365
agua(6)(6).image.png,2,agua,79,177,84,365
agua(6)(7).image.png,2,agua,79,177,84,365
agua(6)(8).image.png,2,agua,79,177,84,365
agua(6)(9).image.png,2,agua,79,177,84,365
agua(6)(10).image.png,2,agua,79,177,84,365
agua(6)(11).image.png,2,agua,79,177,84,365
agua(6)(12).image.png,2,agua,79,177,84,365
agua(8)(0).image.png,2,agua,79,181,80,381
agua(8)(1).image.png,2,agua,79,181,80,381
agua(8)(2).image.png,2,agua,79,181,80,381
agua(8)(3).image.png,2,agua,79,181,80,381
agua(8)(4).image.png,2,agua,79,181,80,381
agua(8)(5).image.png,2,agua,79,181,80,381
agua(8)(6).image.png,2,agua,79,181,80,381
