filename,id,label,xMin,xMax,yMin,yMax
agua(0)(0).image.png,1,agua,82,177,64,338
agua(0)(1).image.png,1,agua,82,177,64,338
agua(0)(2).image.png,1,agua,82,177,64,338
agua(0)(3).image.png,1,agua,82,177,64,338
agua(0)(4).image.png,1,agua,82,177,64,338
agua(0)(5).image.png,1,agua,82,177,64,338
agua(0)(6).image.png,1,agua,82,177,64,338
agua(0)(7).image.png,1,agua,82,177,64,338
agua(0)(8).image.png,1,agua,82,177,64,338
agua(0)(9).image.png,1,agua,82,177,64,338
agua(0)(10).image.png,1,agua,82,177,64,338
agua(0)(11).image.png,1,agua,82,177,64,338
agua(0)(12).image.png,1,agua,82,177,64,338
agua(0)(13).image.png,1,agua,82,177,64,338
agua(0)(14).image.png,1,agua,82,177,64,338
agua(0)(15).image.png,1,agua,82,177,64,338
agua(0)(16).image.png,1,agua,82,177,64,338
agua(0)(17).image.png,1,agua,82,177,64,338
agua(0)(18).image.png,1,agua,82,177,64,338
agua(0)(19).image.png,1,agua,82,177,64,338
agua(0)(20).image.png,1,agua,82,177,64,338
agua(0)(21).image.png,1,agua,82,177,64,338
agua(0)(22).image.png,1,agua,82,177,64,338
agua(0)(23).image.png,1,agua,82,177,64,338
agua(0)(24).image.png,1,agua,82,177,64,338
agua(0)(25).image.png,1,agua,82,177,64,338
agua(0)(26).image.png,1,agua,82,177,64,338
agua(0)(27).image.png,1,agua,82,177,64,338
agua(0)(28).image.png,1,agua,82,177,64,338
agua(0)(29).image.png,1,agua,82,177,64,338
agua(0)(30).image.png,1,agua,82,177,64,338
agua(0)(31).image.png,1,agua,82,177,64,338
agua(0)(32).image.png,1,agua,82,177,64,338
agua(0)(33).image.png,1,agua,82,177,64,338
agua(0)(34).image.png,1,agua,82,177,64,338
agua(0)(35).image.png,1,agua,82,177,64,338
agua(0)(36).image.png,1,agua,82,177,64,338
agua(0)(37).image.png,1,agua,82,177,64,338
agua(0)(38).image.png,1,agua,82,177,64,338
agua(0)(39).image.png,1,agua,82,177,64,338
agua(0)(40).image.png,1,agua,82,177,64,338
agua(0)(41).image.png,1,agua,82,177,64,338
agua(0)(42).image.png,1,agua,82,177,64,338
agua(0)(43).image.png,1,agua,82,177,64,338
agua(0)(44).image.png,1,agua,82,177,64,338
agua(0)(45).image.png,1,agua,82,177,64,338
agua(0)(46).image.png,1,agua,82,177,64,338
agua(0)(47).image.png,1,agua,82,177,64,338
agua(0)(48).image.png,1,agua,82,177,64,338
agua(0)(49).image.png,1,agua,82,177,64,338
agua(0)(50).image.png,1,agua,82,177,64,338
agua(0)(51).image.png,1,agua,82,177,64,338
agua(0)(52).image.png,1,agua,82,177,64,338
agua(0)(53).image.png,1,agua,82,177,64,338
agua(0)(54).image.png,1,agua,82,177,64,338
agua(0)(55).image.png,1,agua,82,177,64,338
agua(0)(56).image.png,1,agua,82,177,64,338
agua(0)(57).image.png,1,agua,82,177,64,338
agua(0)(58).image.png,1,agua,82,177,64,338
agua(0)(59).image.png,1,agua,82,177,64,338
agua(0)(60).image.png,1,agua,82,177,64,338
agua(0)(61).image.png,1,agua,82,177,64,338
agua(0)(62).image.png,1,agua,82,177,64,338
agua(0)(63).image.png,1,agua,82,177,64,338
agua(0)(64).image.png,1,agua,82,177,64,338
agua(0)(65).image.png,1,agua,82,177,64,338
agua(0)(66).image.png,1,agua,82,177,64,338
agua(0)(67).image.png,1,agua,82,177,64,338
agua(0)(68).image.png,1,agua,82,177,64,338
agua(0)(69).image.png,1,agua,82,177,64,338
agua(0)(70).image.png,1,agua,82,177,64,338
agua(0)(71).image.png,1,agua,82,177,64,338
agua(0)(72).image.png,1,agua,82,177,64,338
agua(0)(73).image.png,1,agua,82,177,64,338
agua(0)(74).image.png,1,agua,82,177,64,338
agua(0)(75).image.png,1,agua,82,177,64,338
agua(0)(76).image.png,1,agua,82,177,64,338
agua(0)(77).image.png,1,agua,82,177,64,338
agua(0)(78).image.png,1,agua,82,177,64,338
agua(0)(79).image.png,1,agua,82,177,64,338
agua(0)(80).image.png,1,agua,82,177,64,338
agua(0)(81).image.png,1,agua,82,177,64,338
agua(0)(82).image.png,1,agua,82,177,64,338
agua(0)(83).image.png,1,agua,82,177,64,338
agua(0)(84).image.png,1,agua,82,177,64,338
agua(0)(85).image.png,1,agua,82,177,64,338
agua(0)(86).image.png,1,agua,82,177,64,338
agua(0)(87).image.png,1,agua,82,177,64,338
agua(0)(88).image.png,1,agua,82,177,64,338
agua(0)(89).image.png,1,agua,82,177,64,338
agua(0)(90).image.png,1,agua,82,177,64,338
agua(0)(91).image.png,1,agua,82,177,64,338
agua(0)(92).image.png,1,agua,82,177,64,338
agua(0)(93).image.png,1,agua,82,177,64,338
agua(0)(94).image.png,1,agua,82,177,64,338
agua(0)(95).image.png,1,agua,82,177,64,338
agua(0)(96).image.png,1,agua,82,177,64,338
agua(0)(97).image.png,1,agua,82,177,64,338
agua(0)(98).image.png,1,agua,82,177,64,338
agua(0)(99).image.png,1,agua,82,177,64,338
agua(0)(100).image.png,1,agua,82,177,64,338
agua(0)(101).image.png,1,agua,82,177,64,338
agua(0)(102).image.png,1,agua,82,177,64,338
agua(0)(103).image.png,1,agua,82,177,64,338
agua(0)(104).image.png,1,agua,82,177,64,338
agua(0)(105).image.png,1,agua,82,177,64,338
agua(0)(106).image.png,1,agua,82,177,64,338
agua(0)(107).image.png,1,agua,82,177,64,338
agua(0)(108).image.png,1,agua,82,177,64,338
agua(0)(109).image.png,1,agua,82,177,64,338
agua(0)(110).image.png,1,agua,82,177,64,338
agua(0)(111).image.png,1,agua,82,177,64,338
agua(0)(112).image.png,1,agua,82,177,64,338
agua(0)(113).image.png,1,agua,82,177,64,338
agua(0)(114).image.png,1,agua,82,177,64,338
agua(0)(115).image.png,1,agua,82,177,64,338
agua(0)(116).image.png,1,agua,82,177,64,338
agua(0)(117).image.png,1,agua,82,177,64,338
agua(0)(118).image.png,1,agua,82,177,64,338
agua(0)(119).image.png,1,agua,82,177,64,338
agua(0)(120).image.png,1,agua,82,177,64,338
agua(0)(121).image.png,1,agua,82,177,64,338
agua(0)(122).image.png,1,agua,82,177,64,338
agua(0)(123).image.png,1,agua,82,177,64,338
agua(0)(124).image.png,1,agua,82,177,64,338
agua(0)(125).image.png,1,agua,82,177,64,338
agua(0)(126).image.png,1,agua,82,177,64,338
agua(0)(127).image.png,1,agua,82,177,64,338
agua(0)(128).image.png,1,agua,82,177,64,338
agua(0)(129).image.png,1,agua,82,177,64,338
agua(0)(130).image.png,1,agua,82,177,64,338
agua(0)(131).image.png,1,agua,82,177,64,338
agua(0)(132).image.png,1,agua,82,177,64,338
agua(0)(133).image.png,1,agua,82,177,64,338
agua(0)(134).image.png,1,agua,82,177,64,338
agua(0)(135).image.png,1,agua,82,177,64,338
agua(0)(136).image.png,1,agua,82,177,64,338
agua(0)(137).image.png,1,agua,82,177,64,338
agua(0)(138).image.png,1,agua,82,177,64,338
agua(0)(139).image.png,1,agua,82,177,64,338
agua(0)(140).image.png,1,agua,82,177,64,338
agua(0)(141).image.png,1,agua,82,177,64,338
agua(0)(142).image.png,1,agua,82,177,64,338
agua(0)(143).image.png,1,agua,82,177,64,338
agua(0)(144).image.png,1,agua,82,177,64,338
agua(0)(145).image.png,1,agua,82,177,64,338
agua(0)(146).image.png,1,agua,82,177,64,338
agua(0)(147).image.png,1,agua,82,177,64,338
agua(0)(148).image.png,1,agua,82,177,64,338
agua(0)(149).image.png,1,agua,82,177,64,338
agua(0)(150).image.png,1,agua,82,177,64,338
agua(0)(151).image.png,1,agua,82,177,64,338
agua(0)(152).image.png,1,agua,82,177,64,338
agua(0)(153).image.png,1,agua,82,177,64,338
agua(0)(154).image.png,1,agua,82,177,64,338
agua(0)(155).image.png,1,agua,82,177,64,338
agua(0)(156).image.png,1,agua,82,177,64,338
agua(0)(157).image.png,1,agua,82,177,64,338
agua(0)(158).image.png,1,agua,82,177,64,338
agua(0)(159).image.png,1,agua,82,177,64,338
agua(0)(160).image.png,1,agua,82,177,64,338
agua(0)(161).image.png,1,agua,82,177,64,338
agua(0)(162).image.png,1,agua,82,177,64,338
agua(0)(163).image.png,1,agua,82,177,64,338
agua(0)(164).image.png,1,agua,82,177,64,338
agua(0)(165).image.png,1,agua,82,177,64,338
agua(0)(166).image.png,1,agua,82,177,64,338
agua(0)(167).image.png,1,agua,82,177,64,338
agua(0)(168).image.png,1,agua,82,177,64,338
agua(0)(169).image.png,1,agua,82,177,64,338
agua(0)(170).image.png,1,agua,82,177,64,338
agua(0)(171).image.png,1,agua,82,177,64,338
agua(0)(172).image.png,1,agua,82,177,64,338
agua(0)(173).image.png,1,agua,82,177,64,338
agua(0)(174).image.png,1,agua,82,177,64,338
agua(0)(175).image.png,1,agua,82,177,64,338
agua(0)(176).image.png,1,agua,82,177,64,338
agua(0)(177).image.png,1,agua,82,177,64,338
agua(0)(178).image.png,1,agua,82,177,64,338
agua(0)(179).image.png,1,agua,82,177,64,338
agua(0)(180).image.png,1,agua,82,177,64,338
agua(0)(181).image.png,1,agua,82,177,64,338
agua(0)(182).image.png,1,agua,82,177,64,338
agua(0)(183).image.png,1,agua,82,177,64,338
agua(0)(184).image.png,1,agua,82,177,64,338
agua(0)(185).image.png,1,agua,82,177,64,338
agua(0)(186).image.png,1,agua,82,177,64,338
agua(0)(187).image.png,1,agua,82,177,64,338
agua(0)(188).image.png,1,agua,82,177,64,338
agua(0)(189).image.png,1,agua,82,177,64,338
agua(0)(190).image.png,1,agua,82,177,64,338
agua(0)(191).image.png,1,agua,82,177,64,338
agua(0)(192).image.png,1,agua,82,177,64,338
agua(0)(193).image.png,1,agua,82,177,64,338
agua(0)(194).image.png,1,agua,82,177,64,338
agua(0)(195).image.png,1,agua,82,177,64,338
agua(0)(196).image.png,1,agua,82,177,64,338
agua(0)(197).image.png,1,agua,82,177,64,338
agua(0)(198).image.png,1,agua,82,177,64,338
