filename,id,label,xMin,xMax,yMin,yMax
soda(0)(0).image.png,1,soda,127,237,104,437
soda(0)(1).image.png,1,soda,127,237,104,437
soda(0)(2).image.png,1,soda,127,237,104,437
soda(0)(3).image.png,1,soda,127,237,104,437
soda(0)(4).image.png,1,soda,127,237,104,437
soda(0)(5).image.png,1,soda,127,237,104,437
soda(0)(6).image.png,1,soda,127,237,104,437
soda(0)(7).image.png,1,soda,127,237,104,437
soda(0)(8).image.png,1,soda,127,237,104,437
soda(0)(9).image.png,1,soda,127,237,104,437
soda(0)(10).image.png,1,soda,127,237,104,437
soda(0)(11).image.png,1,soda,127,237,104,437
soda(0)(12).image.png,1,soda,127,237,104,437
soda(1)(0).image.png,1,soda,124,235,103,437
soda(1)(1).image.png,1,soda,124,235,103,437
soda(1)(2).image.png,1,soda,124,235,103,437
soda(1)(3).image.png,1,soda,124,235,103,437
soda(1)(4).image.png,1,soda,124,235,103,437
soda(1)(5).image.png,1,soda,124,235,103,437
soda(1)(6).image.png,1,soda,124,235,103,437
soda(1)(7).image.png,1,soda,124,235,103,437
soda(1)(8).image.png,1,soda,124,235,103,437
soda(1)(9).image.png,1,soda,124,235,103,437
soda(1)(10).image.png,1,soda,124,235,103,437
soda(1)(11).image.png,1,soda,124,235,103,437
soda(1)(12).image.png,1,soda,124,235,103,437
soda(2)(0).image.png,1,soda,119,226,104,433
soda(2)(1).image.png,1,soda,119,226,104,433
soda(2)(2).image.png,1,soda,119,226,104,433
soda(2)(3).image.png,1,soda,119,226,104,433
soda(2)(4).image.png,1,soda,119,226,104,433
soda(2)(5).image.png,1,soda,119,226,104,433
soda(2)(6).image.png,1,soda,119,226,104,433
soda(2)(7).image.png,1,soda,119,226,104,433
soda(2)(8).image.png,1,soda,119,226,104,433
soda(2)(9).image.png,1,soda,119,226,104,433
soda(2)(10).image.png,1,soda,119,226,104,433
soda(2)(11).image.png,1,soda,119,226,104,433
soda(2)(12).image.png,1,soda,119,226,104,433
soda(3)(0).image.png,1,soda,109,219,103,432
soda(3)(1).image.png,1,soda,109,219,103,432
soda(3)(2).image.png,1,soda,109,219,103,432
soda(3)(3).image.png,1,soda,109,219,103,432
soda(3)(4).image.png,1,soda,109,219,103,432
soda(3)(5).image.png,1,soda,109,219,103,432
soda(3)(6).image.png,1,soda,109,219,103,432
soda(3)(7).image.png,1,soda,109,219,103,432
soda(3)(8).image.png,1,soda,109,219,103,432
soda(3)(9).image.png,1,soda,109,219,103,432
soda(3)(10).image.png,1,soda,109,219,103,432
soda(3)(11).image.png,1,soda,109,219,103,432
soda(3)(12).image.png,1,soda,109,219,103,432
soda(4)(0).image.png,1,soda,102,212,100,431
soda(4)(1).image.png,1,soda,102,212,100,431
soda(4)(2).image.png,1,soda,102,212,100,431
soda(4)(3).image.png,1,soda,102,212,100,431
soda(4)(4).image.png,1,soda,102,212,100,431
soda(4)(5).image.png,1,soda,102,212,100,431
soda(4)(6).image.png,1,soda,102,212,100,431
soda(4)(7).image.png,1,soda,102,212,100,431
soda(4)(8).image.png,1,soda,102,212,100,431
soda(4)(9).image.png,1,soda,102,212,100,431
soda(4)(10).image.png,1,soda,102,212,100,431
soda(4)(11).image.png,1,soda,102,212,100,431
soda(4)(12).image.png,1,soda,102,212,100,431
soda(5)(0).image.png,1,soda,93,208,104,439
soda(5)(1).image.png,1,soda,93,208,104,439
soda(5)(2).image.png,1,soda,93,208,104,439
soda(5)(3).image.png,1,soda,93,208,104,439
soda(5)(4).image.png,1,soda,93,208,104,439
soda(5)(5).image.png,1,soda,93,208,104,439
soda(5)(6).image.png,1,soda,93,208,104,439
soda(5)(7).image.png,1,soda,93,208,104,439
soda(5)(8).image.png,1,soda,93,208,104,439
soda(5)(9).image.png,1,soda,93,208,104,439
soda(5)(10).image.png,1,soda,93,208,104,439
soda(5)(11).image.png,1,soda,93,208,104,439
soda(5)(12).image.png,1,soda,93,208,104,439
soda(5)(0).image.png,1,soda,93,208,104,439
soda(5)(1).image.png,1,soda,93,208,104,439
soda(5)(2).image.png,1,soda,93,208,104,439
soda(5)(3).image.png,1,soda,93,208,104,439
soda(5)(4).image.png,1,soda,93,208,104,439
soda(5)(5).image.png,1,soda,93,208,104,439
soda(5)(6).image.png,1,soda,93,208,104,439
soda(5)(7).image.png,1,soda,93,208,104,439
soda(5)(8).image.png,1,soda,93,208,104,439
soda(5)(9).image.png,1,soda,93,208,104,439
soda(5)(10).image.png,1,soda,93,208,104,439
soda(5)(11).image.png,1,soda,93,208,104,439
soda(5)(12).image.png,1,soda,93,208,104,439
soda(7)(0).image.png,1,soda,86,199,114,453
soda(7)(1).image.png,1,soda,86,199,114,453
soda(7)(2).image.png,1,soda,86,199,114,453
soda(7)(3).image.png,1,soda,86,199,114,453
soda(7)(4).image.png,1,soda,86,199,114,453
soda(7)(5).image.png,1,soda,86,199,114,453
soda(7)(6).image.png,1,soda,86,199,114,453
soda(7)(7).image.png,1,soda,86,199,114,453
soda(7)(8).image.png,1,soda,86,199,114,453
soda(7)(9).image.png,1,soda,86,199,114,453
soda(7)(10).image.png,1,soda,86,199,114,453
soda(7)(11).image.png,1,soda,86,199,114,453
soda(7)(12).image.png,1,soda,86,199,114,453
soda(8)(0).image.png,1,soda,90,203,119,455
soda(8)(1).image.png,1,soda,90,203,119,455
soda(8)(2).image.png,1,soda,90,203,119,455
soda(8)(3).image.png,1,soda,90,203,119,455
soda(8)(4).image.png,1,soda,90,203,119,455
soda(8)(5).image.png,1,soda,90,203,119,455
soda(8)(6).image.png,1,soda,90,203,119,455
soda(8)(7).image.png,1,soda,90,203,119,455
soda(8)(8).image.png,1,soda,90,203,119,455
soda(8)(9).image.png,1,soda,90,203,119,455
soda(8)(10).image.png,1,soda,90,203,119,455
soda(8)(11).image.png,1,soda,90,203,119,455
soda(8)(12).image.png,1,soda,90,203,119,455
soda(9)(0).image.png,1,soda,98,208,113,448
soda(9)(1).image.png,1,soda,98,208,113,448
