filename,id,label,xMin,xMax,yMin,yMax
soda(0)(0).image.png,2,soda,127,237,104,437
soda(0)(1).image.png,2,soda,127,237,104,437
soda(0)(2).image.png,2,soda,127,237,104,437
soda(0)(3).image.png,2,soda,127,237,104,437
soda(0)(4).image.png,2,soda,127,237,104,437
soda(0)(5).image.png,2,soda,127,237,104,437
soda(0)(6).image.png,2,soda,127,237,104,437
soda(0)(7).image.png,2,soda,127,237,104,437
soda(0)(8).image.png,2,soda,127,237,104,437
soda(0)(9).image.png,2,soda,127,237,104,437
soda(0)(10).image.png,2,soda,127,237,104,437
soda(0)(11).image.png,2,soda,127,237,104,437
soda(0)(12).image.png,2,soda,127,237,104,437
soda(0)(13).image.png,2,soda,127,237,104,437
soda(0)(14).image.png,2,soda,127,237,104,437
soda(0)(15).image.png,2,soda,127,237,104,437
soda(0)(16).image.png,2,soda,127,237,104,437
soda(0)(17).image.png,2,soda,127,237,104,437
soda(0)(18).image.png,2,soda,127,237,104,437
soda(0)(19).image.png,2,soda,127,237,104,437
soda(0)(20).image.png,2,soda,127,237,104,437
soda(0)(21).image.png,2,soda,127,237,104,437
soda(0)(22).image.png,2,soda,127,237,104,437
soda(0)(23).image.png,2,soda,127,237,104,437
soda(0)(24).image.png,2,soda,127,237,104,437
soda(0)(25).image.png,2,soda,127,237,104,437
soda(0)(26).image.png,2,soda,127,237,104,437
soda(0)(27).image.png,2,soda,127,237,104,437
soda(0)(28).image.png,2,soda,127,237,104,437
soda(0)(29).image.png,2,soda,127,237,104,437
soda(0)(30).image.png,2,soda,127,237,104,437
soda(0)(31).image.png,2,soda,127,237,104,437
soda(0)(32).image.png,2,soda,127,237,104,437
soda(0)(33).image.png,2,soda,127,237,104,437
soda(0)(34).image.png,2,soda,127,237,104,437
soda(0)(35).image.png,2,soda,127,237,104,437
soda(0)(36).image.png,2,soda,127,237,104,437
soda(0)(37).image.png,2,soda,127,237,104,437
soda(0)(38).image.png,2,soda,127,237,104,437
soda(0)(39).image.png,2,soda,127,237,104,437
soda(0)(40).image.png,2,soda,127,237,104,437
soda(0)(41).image.png,2,soda,127,237,104,437
soda(0)(42).image.png,2,soda,127,237,104,437
soda(0)(43).image.png,2,soda,127,237,104,437
soda(0)(44).image.png,2,soda,127,237,104,437
soda(0)(45).image.png,2,soda,127,237,104,437
soda(0)(46).image.png,2,soda,127,237,104,437
soda(0)(47).image.png,2,soda,127,237,104,437
soda(0)(48).image.png,2,soda,127,237,104,437
soda(0)(49).image.png,2,soda,127,237,104,437
soda(0)(50).image.png,2,soda,127,237,104,437
soda(0)(51).image.png,2,soda,127,237,104,437
soda(0)(52).image.png,2,soda,127,237,104,437
soda(0)(53).image.png,2,soda,127,237,104,437
soda(0)(54).image.png,2,soda,127,237,104,437
soda(0)(55).image.png,2,soda,127,237,104,437
soda(0)(56).image.png,2,soda,127,237,104,437
soda(0)(57).image.png,2,soda,127,237,104,437
soda(0)(58).image.png,2,soda,127,237,104,437
soda(0)(59).image.png,2,soda,127,237,104,437
soda(0)(60).image.png,2,soda,127,237,104,437
soda(0)(61).image.png,2,soda,127,237,104,437
soda(0)(62).image.png,2,soda,127,237,104,437
soda(0)(63).image.png,2,soda,127,237,104,437
soda(0)(64).image.png,2,soda,127,237,104,437
soda(0)(65).image.png,2,soda,127,237,104,437
soda(0)(66).image.png,2,soda,127,237,104,437
soda(0)(67).image.png,2,soda,127,237,104,437
soda(0)(68).image.png,2,soda,127,237,104,437
soda(0)(69).image.png,2,soda,127,237,104,437
soda(0)(70).image.png,2,soda,127,237,104,437
soda(0)(71).image.png,2,soda,127,237,104,437
soda(0)(72).image.png,2,soda,127,237,104,437
soda(0)(73).image.png,2,soda,127,237,104,437
soda(0)(74).image.png,2,soda,127,237,104,437
soda(0)(75).image.png,2,soda,127,237,104,437
soda(0)(76).image.png,2,soda,127,237,104,437
soda(0)(77).image.png,2,soda,127,237,104,437
soda(0)(78).image.png,2,soda,127,237,104,437
soda(0)(79).image.png,2,soda,127,237,104,437
soda(0)(80).image.png,2,soda,127,237,104,437
soda(0)(81).image.png,2,soda,127,237,104,437
soda(0)(82).image.png,2,soda,127,237,104,437
soda(0)(83).image.png,2,soda,127,237,104,437
soda(0)(84).image.png,2,soda,127,237,104,437
soda(0)(85).image.png,2,soda,127,237,104,437
soda(0)(86).image.png,2,soda,127,237,104,437
soda(0)(87).image.png,2,soda,127,237,104,437
soda(0)(88).image.png,2,soda,127,237,104,437
soda(0)(89).image.png,2,soda,127,237,104,437
soda(0)(90).image.png,2,soda,127,237,104,437
soda(0)(91).image.png,2,soda,127,237,104,437
soda(0)(92).image.png,2,soda,127,237,104,437
soda(0)(93).image.png,2,soda,127,237,104,437
soda(0)(94).image.png,2,soda,127,237,104,437
soda(0)(95).image.png,2,soda,127,237,104,437
soda(0)(96).image.png,2,soda,127,237,104,437
soda(0)(97).image.png,2,soda,127,237,104,437
soda(0)(98).image.png,2,soda,127,237,104,437
soda(0)(99).image.png,2,soda,127,237,104,437
soda(0)(100).image.png,2,soda,127,237,104,437
soda(0)(101).image.png,2,soda,127,237,104,437
soda(0)(102).image.png,2,soda,127,237,104,437
soda(0)(103).image.png,2,soda,127,237,104,437
soda(0)(104).image.png,2,soda,127,237,104,437
soda(0)(105).image.png,2,soda,127,237,104,437
soda(0)(106).image.png,2,soda,127,237,104,437
soda(0)(107).image.png,2,soda,127,237,104,437
soda(0)(108).image.png,2,soda,127,237,104,437
soda(0)(109).image.png,2,soda,127,237,104,437
soda(0)(110).image.png,2,soda,127,237,104,437
soda(0)(111).image.png,2,soda,127,237,104,437
soda(0)(112).image.png,2,soda,127,237,104,437
soda(0)(113).image.png,2,soda,127,237,104,437
soda(0)(114).image.png,2,soda,127,237,104,437
soda(0)(115).image.png,2,soda,127,237,104,437
soda(0)(116).image.png,2,soda,127,237,104,437
soda(0)(117).image.png,2,soda,127,237,104,437
soda(0)(118).image.png,2,soda,127,237,104,437
soda(0)(119).image.png,2,soda,127,237,104,437
soda(0)(120).image.png,2,soda,127,237,104,437
soda(0)(121).image.png,2,soda,127,237,104,437
soda(0)(122).image.png,2,soda,127,237,104,437
soda(0)(123).image.png,2,soda,127,237,104,437
soda(0)(124).image.png,2,soda,127,237,104,437
soda(0)(125).image.png,2,soda,127,237,104,437
soda(0)(126).image.png,2,soda,127,237,104,437
soda(0)(127).image.png,2,soda,127,237,104,437
soda(0)(128).image.png,2,soda,127,237,104,437
soda(0)(129).image.png,2,soda,127,237,104,437
soda(0)(130).image.png,2,soda,127,237,104,437
soda(0)(131).image.png,2,soda,127,237,104,437
soda(0)(132).image.png,2,soda,127,237,104,437
soda(0)(133).image.png,2,soda,127,237,104,437
soda(0)(134).image.png,2,soda,127,237,104,437
