name,id,label,xMin,xMax,yMin,yMax
garrafa_2(0)(0).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(1).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(2).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(3).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(4).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(5).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(6).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(7).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(8).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(9).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(10).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(11).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(12).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(13).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(14).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(15).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(16).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(17).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(18).png,0,garrafa_2,82,177,64,338
garrafa_2(0)(19).png,0,garrafa_2,82,177,64,338
garrafa_2(1)(0).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(1).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(2).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(3).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(4).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(5).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(6).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(7).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(8).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(9).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(10).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(11).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(12).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(13).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(14).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(15).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(16).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(17).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(18).png,0,garrafa_2,77,131,176,329
garrafa_2(1)(19).png,0,garrafa_2,77,131,176,329
