filename,id,label,xMin,xMax,yMin,yMax
img(0)(0).png,1,soda,127,237,104,437
img(0)(1).png,1,soda,127,237,104,437
img(0)(2).png,1,soda,127,237,104,437
img(0)(3).png,1,soda,127,237,104,437
img(0)(4).png,1,soda,127,237,104,437
img(0)(5).png,1,soda,127,237,104,437
img(0)(6).png,1,soda,127,237,104,437
img(0)(7).png,1,soda,127,237,104,437
img(0)(8).png,1,soda,127,237,104,437
img(0)(9).png,1,soda,127,237,104,437
img(0)(10).png,1,soda,127,237,104,437
img(0)(11).png,1,soda,127,237,104,437
img(0)(12).png,1,soda,127,237,104,437
img(1)(0).png,1,soda,124,235,103,437
img(1)(1).png,1,soda,124,235,103,437
img(1)(2).png,1,soda,124,235,103,437
img(1)(3).png,1,soda,124,235,103,437
img(1)(4).png,1,soda,124,235,103,437
img(1)(5).png,1,soda,124,235,103,437
img(1)(6).png,1,soda,124,235,103,437
img(1)(7).png,1,soda,124,235,103,437
img(1)(8).png,1,soda,124,235,103,437
img(1)(9).png,1,soda,124,235,103,437
img(1)(10).png,1,soda,124,235,103,437
img(1)(11).png,1,soda,124,235,103,437
img(1)(12).png,1,soda,124,235,103,437
img(2)(0).png,1,soda,119,226,104,433
img(2)(1).png,1,soda,119,226,104,433
img(2)(2).png,1,soda,119,226,104,433
img(2)(3).png,1,soda,119,226,104,433
img(2)(4).png,1,soda,119,226,104,433
img(2)(5).png,1,soda,119,226,104,433
img(2)(6).png,1,soda,119,226,104,433
img(2)(7).png,1,soda,119,226,104,433
img(2)(8).png,1,soda,119,226,104,433
img(2)(9).png,1,soda,119,226,104,433
img(2)(10).png,1,soda,119,226,104,433
img(2)(11).png,1,soda,119,226,104,433
img(2)(12).png,1,soda,119,226,104,433
img(3)(0).png,1,soda,109,219,103,432
img(3)(1).png,1,soda,109,219,103,432
img(3)(2).png,1,soda,109,219,103,432
img(3)(3).png,1,soda,109,219,103,432
img(3)(4).png,1,soda,109,219,103,432
img(3)(5).png,1,soda,109,219,103,432
img(3)(6).png,1,soda,109,219,103,432
img(3)(7).png,1,soda,109,219,103,432
img(3)(8).png,1,soda,109,219,103,432
img(3)(9).png,1,soda,109,219,103,432
img(3)(10).png,1,soda,109,219,103,432
img(3)(11).png,1,soda,109,219,103,432
img(3)(12).png,1,soda,109,219,103,432
img(4)(0).png,1,soda,102,212,100,431
img(4)(1).png,1,soda,102,212,100,431
img(4)(2).png,1,soda,102,212,100,431
img(4)(3).png,1,soda,102,212,100,431
img(4)(4).png,1,soda,102,212,100,431
img(4)(5).png,1,soda,102,212,100,431
img(4)(6).png,1,soda,102,212,100,431
img(4)(7).png,1,soda,102,212,100,431
img(4)(8).png,1,soda,102,212,100,431
img(4)(9).png,1,soda,102,212,100,431
img(4)(10).png,1,soda,102,212,100,431
img(4)(11).png,1,soda,102,212,100,431
img(4)(12).png,1,soda,102,212,100,431
